A,C,B,E,D,F,H,mu__0,sigma_log_,sigma
204.360617537,-3.96675540063,-0.125819263078,716.798943571,-68.5900161448,278.9625928,-1.51324601711,101.430148408,0.836609748777,2.30852720771
204.431660886,-3.96675540063,-0.125819263078,715.810579739,-68.5900161448,277.746712215,-1.51324601711,101.119730369,0.836609748777,2.30852720771
204.431660886,-3.96675540063,-0.125819263078,715.955528502,-69.7681580535,277.771355745,-1.51324601711,100.97920601,0.836609748777,2.30852720771
202.300249348,-3.96675540063,-0.125819263078,717.228558685,-70.0887921516,277.771355745,-1.51324601711,99.721723498,0.836609748777,2.30852720771
201.832313075,-3.96675540063,-0.125819263078,717.228558685,-71.1251028047,274.596335135,-1.51324601711,98.4402331387,0.836609748777,2.30852720771
201.042447302,-3.96675540063,-0.125819263078,715.991350228,-71.1251028047,273.364483954,-1.51324601711,97.7258825576,0.783758315683,2.18968635282
198.883865969,-4.14532403024,-0.125819263078,715.922252811,-71.1251028047,273.364483954,-1.51324601711,96.5567898376,0.783758315683,2.18968635282
198.883865969,-4.14532403024,-0.197329794174,716.558941608,-71.1251028047,273.364483954,-1.51324601711,96.5301170051,0.783758315683,2.18968635282
198.883865969,-4.1241410132,-0.197329794174,716.784430409,-74.3851258895,273.364483954,-1.51324601711,96.2693280703,0.783758315683,2.18968635282
198.883865969,-3.98877519967,-0.197329794174,716.488680982,-74.8353881326,273.143081968,-1.51324601711,96.1913435428,0.783758315683,2.18968635282
198.404528653,-3.98877519967,-0.197329794174,716.488680982,-74.8353881326,272.399970078,-1.51324601711,95.7568486568,0.783758315683,2.18968635282
198.404528653,-3.98877519967,-0.197329794174,718.872872576,-73.7710416795,271.682828296,-1.51324601711,95.5553387992,0.783758315683,2.18968635282
197.83205973,-3.98877519967,-0.197329794174,718.444355649,-74.175827841,270.983775445,-1.51324601711,95.0808253239,0.783758315683,2.18968635282
197.27021118,-3.98877519967,-0.197329794174,720.220721561,-76.5822857794,270.983775445,-1.51324601711,94.6009179571,0.783758315683,2.18968635282
197.27021118,-4.1528732433,-0.197329794174,722.018334784,-76.5822857794,270.130995762,-1.51324601711,94.3869845751,0.783758315683,2.18968635282
197.27021118,-4.12003185669,-0.243403758516,723.169826818,-76.5822857794,270.130995762,-1.51324601711,94.3390746202,0.783758315683,2.18968635282
196.931120785,-4.12003185669,-0.243403758516,723.113027651,-77.5640224389,270.130995762,-1.51324601711,94.1293018481,0.783758315683,2.18968635282
196.931120785,-4.12003185669,-0.243403758516,721.735651573,-76.9661139604,268.692484692,-1.51324601711,93.9364360765,0.783758315683,2.18968635282
